Time,Vertical Force (single leg)
18709.73481,403.272644
18709.74315,402.967468
18709.75148,403.272644
18709.75981,404.035583
18709.76815,404.035583
18709.77648,404.951111
18709.78481,404.951111
18709.79315,405.866638
18709.80148,404.798523
18709.80981,404.645935
18709.81815,404.645935
18709.82648,405.866638
18709.83481,405.256287
18709.84315,406.019226
18709.85148,405.103699
18709.85981,405.408875
18709.86815,406.324402
18709.87648,406.171814
18709.88481,406.171814
18709.89315,406.782166
18709.90148,407.392517
18709.90981,406.019226
18709.91815,406.171814
18709.92648,406.171814
18709.93481,407.239929
18709.94315,406.629578
18709.95148,405.103699
18709.95981,406.934753
18709.96815,406.934753
18709.97648,406.934753
18709.98481,406.629578
18709.99315,408.61322
18710.00148,408.460632
18710.00981,407.239929
18710.01815,407.239929
18710.02648,405.561462
18710.03481,405.561462
18710.04315,405.256287
18710.05148,404.951111
18710.05981,404.493347
18710.06815,403.882996
18710.07648,402.051941
18710.08481,402.051941
18710.09315,402.051941
18710.10148,401.594177
18710.10981,401.136414
18710.11815,401.136414
18710.12648,401.136414
18710.13481,399.457947
18710.14315,400.373474
18710.15148,401.594177
18710.15981,400.983826
18710.16815,401.136414
18710.17648,401.594177
18710.18481,401.594177
18710.19315,400.068298
18710.20148,400.983826
18710.20981,401.899353
18710.21815,401.899353
18710.22648,401.136414
18710.23481,401.136414
18710.24315,400.983826
18710.25148,401.899353
18710.25981,402.967468
18710.26815,402.967468
18710.27648,401.746765
18710.28481,402.357117
18710.29315,401.136414
18710.30148,401.899353
18710.30981,401.594177
18710.31815,401.594177
18710.32648,402.051941
18710.33481,402.051941
18710.34315,401.136414
18710.35148,402.509705
18710.35981,402.81488
18710.36815,401.289001
18710.37648,401.289001
18710.38481,400.831238
18710.39315,401.899353
18710.40148,402.204529
18710.40981,400.983826
18710.41815,401.136414
18710.42648,401.136414
18710.43481,400.526062
18710.44315,399.91571
18710.45148,399.91571
18710.45981,400.220886
18710.46815,400.220886
18710.47648,400.373474
18710.48481,400.67865
18710.49315,400.373474
18710.50148,400.373474
18710.50981,399.457947
18710.51815,399.152771
18710.52648,399.152771
18710.53481,399.457947
18710.54315,398.695007
18710.55148,397.474304
18710.55981,397.932068
18710.56815,398.237244
18710.57648,397.77948
18710.58481,397.77948
18710.59315,398.542419
18710.60148,399.305359
18710.60981,398.542419
18710.61815,398.542419
18710.62648,398.084656
18710.63481,399.000183
18710.64315,398.695007
18710.65148,398.542419
18710.65981,398.237244
18710.66815,398.237244
18710.67648,397.626892
18710.68481,399.152771
18710.69315,396.558777
18710.70148,398.084656
18710.70981,398.084656
18710.71815,398.084656
18710.72648,399.610535
18710.73481,398.847595
18710.74315,399.000183
18710.75148,398.695007
18710.75981,398.542419
18710.76815,398.542419
18710.77648,398.542419
18710.78481,398.542419
18710.79315,397.77948
18710.80148,398.542419
18710.80981,398.237244
18710.81815,398.084656
18710.82648,398.084656
18710.83481,399.305359
18710.84315,397.321716
18710.85148,397.932068
18710.85981,400.220886
18710.86815,398.237244
18710.87648,398.237244
18710.88481,397.474304
18710.89315,399.152771
18710.90148,398.847595
18710.90981,397.474304
18710.91815,397.321716
18710.92648,397.321716
18710.93481,397.626892
18710.94315,397.932068
18710.95148,399.763123
18710.95981,398.084656
18710.96815,398.237244
18710.97648,398.237244
18710.98481,397.169128
18710.99315,397.77948
18711.00148,399.305359
18711.00981,399.305359
18711.01815,398.389832
18711.02648,396.711365
18711.03481,397.932068
18711.04315,397.169128
18711.05148,398.542419
18711.05981,397.77948
18711.06815,397.932068
18711.07648,398.084656
18711.08481,398.084656
18711.09315,397.77948
18711.10148,399.305359
18711.10981,398.695007
18711.11815,398.695007
18711.12648,398.237244
18711.13481,399.610535
18711.14315,400.67865
18711.15148,400.068298
18711.15981,400.220886
18711.16815,400.983826
18711.17648,400.983826
18711.18481,402.967468
18711.19315,402.509705
18711.20148,402.509705
18711.20981,402.81488
18711.21815,403.272644
18711.22648,403.272644
18711.23481,402.967468
18711.24315,403.57782
18711.25148,403.425232
18711.25981,402.662292
18711.26815,402.662292
18711.27648,402.81488
18711.28481,402.81488
